ART_TOT;ART_PRM;ART_FOOD_PRM;ART_FOOD;ART_LEADER;ART_FOLLOWER;ART_FLINE;ART_EXLAB;ART_PRIVLAB
25;7;4;15;7;8;0;0;1
9;5;5;8;0;7;0;0;0
16;1;0;0;0;0;0;0;0
5;0;0;2;0;1;0;0;1
12;0;0;10;0;5;0;0;5
43;13;13;38;9;26;2;0;1
552;179;164;467;155;262;8;16;34
26;6;6;25;11;10;3;0;0
151;50;45;126;26;83;3;4;8
284;65;59;225;42;109;22;8;47
12;8;0;0;0;0;0;3;0
166;37;37;144;42;71;8;2;21
162;30;24;121;35;61;9;8;13
51;11;11;50;16;24;2;1;5
155;28;23;120;39;65;4;2;8
24;5;4;13;4;7;0;1;2
26;4;3;20;7;11;0;2;2
7;0;0;7;2;3;0;0;1
141;32;16;71;17;44;4;6;5
18;1;0;4;0;1;1;0;2
292;102;92;261;85;121;19;3;32
83;13;7;62;18;36;0;3;6
8;2;0;1;0;0;0;1;1
7;4;4;7;2;5;0;0;0
8;0;0;7;1;4;0;1;2
14;7;2;2;1;1;0;1;0
33;10;4;16;1;9;2;3;1
6;0;0;5;1;3;0;0;1
555;155;149;493;178;230;33;11;45
26;5;5;24;13;9;1;0;1
77;27;20;43;10;23;1;4;8
39;7;7;28;8;17;0;1;4
121;22;17;81;21;52;0;4;8
15;2;2;13;1;8;1;0;3
3;1;1;3;0;2;1;0;0
65;18;16;46;8;29;1;2;7
24;11;10;19;6;13;0;2;0
146;42;41;140;33;70;10;3;22
108;20;19;96;21;57;2;0;13
36;3;3;25;8;15;1;3;1
10;6;0;1;0;0;0;0;1
428;95;87;383;123;201;8;21;28
34;20;20;30;7;19;0;1;1
191;46;43;164;40;71;21;1;31
102;15;13;76;22;52;0;1;1
98;9;6;67;19;40;2;6;3
567;89;82;474;129;305;7;7;29
20;7;6;14;4;7;1;1;1
89;15;6;28;6;16;4;9;2
148;22;18;105;27;69;1;2;7
450;100;94;402;133;201;14;5;54
50;14;12;44;7;23;3;2;9
6;0;0;1;1;0;0;0;0
12;1;0;6;2;3;1;2;1
4;1;0;0;0;0;0;0;0
109;37;32;79;35;38;0;2;4
9;3;3;8;4;4;0;0;0
50;10;7;35;13;17;1;1;4
1;0;0;1;0;1;0;0;0
15;1;0;2;0;0;0;2;1
13;3;2;11;2;7;1;0;1
58;15;9;47;8;37;1;4;1
5;0;0;0;0;0;0;0;0
32;6;3;21;4;8;2;0;6
29;3;3;13;2;7;0;0;4
16;8;0;1;1;0;0;0;0
35;6;4;18;2;12;2;4;1
224;53;50;202;41;119;9;9;26
81;19;7;43;13;26;2;3;4
57;10;10;56;19;29;1;0;7
24;13;11;15;2;12;0;1;1
249;50;23;116;38;71;3;4;4
1;1;0;0;0;0;0;1;0
86;29;27;66;15;43;2;1;6
2;0;0;0;0;0;0;1;0
41;13;13;40;13;18;1;1;4
86;16;16;81;27;41;3;1;9
165;18;15;106;23;72;1;3;7
119;22;18;74;15;52;1;12;4
97;15;3;18;9;3;3;12;3
94;29;15;33;5;25;1;7;1
576;141;112;413;132;244;8;18;24
51;15;10;36;9;21;4;5;2
21;5;4;13;2;7;0;1;4
103;17;8;63;19;28;2;2;14
35;4;3;26;6;12;0;0;8
12;0;0;1;0;0;0;0;1
24;1;1;16;4;9;0;0;3
25;1;1;8;2;4;1;0;1
109;36;30;68;20;41;1;1;4
83;16;11;69;11;46;3;0;7
128;18;10;46;13;28;0;6;6
17;7;6;13;7;6;0;2;0
51;11;11;49;25;21;2;1;0
18;12;9;10;4;6;0;1;0
